ApplicantCode	Gender	ATSIyn	ShortlistedNY	Interviewed	FemaleONpanel	OfferNY	AcceptNY	JoinYN
1	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1	1
3	1	2	1	1	1	1	1	1
4	1	2	1	1	2	1	1	1
5	1	2	1	1	2	0		
6	1	2	1	1	2	0		
7	1	2	1	1	2	0		
8	1	2	1	1	1	0		
9	1	1	1	1	1	0		
10	1	2	1	0				
11	1	2	1	0				
12	1	2	1	0				
13	1	2	1	0				
14	1	2	1	0				
15	1	2	1	0				
16	1	2	1	0				
17	1	1	1	0				
18	1	1	1	0				
19	1	2	1	0				
20	2	2	1	1	2	1	1	1
21	2	2	1	1	2	1	0	0
22	2	2	1	1	1	1	0	0
23	2	2	1	1	1	0		
24	2	2	1	1	1	0		
25	2	1	1	1	2	1	1	1
26	2	2	1	1	2	1	1	1
27	2	2	1	1	2	0		
28	2	2	1	0				
29	2	2	1	0				
30	2	2	1	1	1	0		
31	2	2	1	1	1	0		
32	2	2	1	1	1	0		
33	2	2	1	1	1	0		
34	2	2	1	1	1	0		
35	2	2	1	1	1	0		
36	2	2	1	1	1	0		
37	2	1	1	1	1	0		
38	2	2	1	1	1	0		
39	2	2	1	1	1	0		
40	2	2	1	1	1	0		
41	2	2	1	1	1	0		
42	2	2	1	0				
43	2	2	1	0				
44	2	2	1	0				
45	1	1	0	0				
46	1	1	0	0				
47	1	1	0	0				
48	1	1	0	0				
49	1	1	0	0				
50	1	2	0	0				
51	1	2	0	0				
52	1	2	0	0				
53	1	1	0	0				
54	1	1	0	0				
55	1	2	0	0				
56	1	2	0	0				
57	1	2	0	0				
58	1	2	0	0				
59	1	2	0	0				
60	1	2	0	0				
61	1	2	0	0				
62	1	2	0	0				
63	1	2	0	0				
64	1	1	0	0				
65	2	1	0	0				
66	2	2	0	0				
67	2	2	0	0				
68	2	2	0	0				
69	2	2	0	0				
70	2	1	0	0				
71	2	1	0	0				
72	2	2	0	0				
73	2	2	0	0				
74	2	2	0	0				
75	2	2	0	0				
76	2	1	0	0				
77	2	1	0	0				
78	2	1	0	0				
79	2	2	0	0				
80	2	2	0	0				
81	2	2	0	0				
82	2	2	0	0				
83	2	1	0	0				
84	2	1	0	0				
85	2	2	0	0				
86	2	2	0	0				
87	2	2	0	0				
88	2	2	0	0				
89	2	1	0	0				
90	2	1	0	0				
91	2	2	0	0				
92	2	2	0	0				
93	2	2	0	0				
94	2	2	0	0				
95	2	1	0	0				
96	2	1	0	0				
97	2	2	0	0				
98	2	2	0	0				
99	2	2	0	0				
100	2	2	0	0				
101	2	1	0	0				
102	2	1	0	0				
103	2	2	0	0				
104	2	2	0	0				
105	2	2	0	0				
106	2	2	0	0				
107	2	1	0	0				
108	2	1	0	0				
109	2	2	0	0				
110	2	2	0	0				
111	2	2	0	0				
112	2	2	0	0				
113	2	1	0	0				
114	2	1	0	0				
115	2	2	0	0				
116	2	2	0	0				
117	2	2	0	0				
118	2	2	0	0				
119	2	1	0	0				
120	2	1	0	0				
121	2	2	0	0				
122	2	2	0	0				
123	2	2	0	0				
124	2	2	0	0				
125	2	1	0	0				
126	2	1	0	0				
127	2	2	0	0				
128	2	2	0	0				
129	2	2	0	0				
130	2	2	0	0				
131	2	1	0	0				
132	2	1	0	0				
133	2	2	0	0				
134	2	2	0	0				
135	2	2	0	0				
136	2	2	0	0				
137	2	1	0	0				
138	2	1	0	0				
139	2	2	0	0				
140	2	2	0	0				
141	1	2	1	1	1	1	1	1
142	1	2	1	1	1	1	1	1
143	1	1	1	1	1	1	1	1
144	1	1	1	1	2	1	1	1
145	1	2	1	1	2	1	0	0
146	1	2	1	1	2	1	0	0
147	1	2	1	1	2	1	0	0
148	1	2	1	1	1	1	0	0
149	1	1	1	1	1	0		
150	1	1	1	1	1	1	1	1
151	1	2	1	1	1	1	1	1
152	1	2	1	1	1	1	1	1
153	1	2	1	1	2	1	1	1
154	1	2	1	1	2	0		
155	1	1	1	1	2	1	0	0
156	1	1	1	1	2	1	0	0
157	1	2	1	1	1	0		
158	1	2	1	1	1	0		
159	1	2	1	0				
160	2	2	1	1	2	1	1	1
161	2	1	1	1	2	1	0	0
162	2	1	1	1	1	1	0	0
163	2	1	1	1	1	0		
164	2	1	1	1	1	0		
165	2	2	1	1	2	1	1	1
166	2	2	1	1	2	1	1	1
167	2	2	1	1	2	0		
168	2	2	1	0				
169	2	1	1	0				
170	2	2	1	0				
171	2	2	1	0				
172	2	2	1	0				
173	2	2	1	0				
174	2	1	1	0				
175	2	2	1	0				
176	2	2	1	0				
177	2	2	1	0				
178	2	2	1	0				
179	2	1	1	0				
180	2	2	1	0				
181	2	2	1	0				
182	2	2	1	0				
183	2	2	1	0				
184	2	1	1	0				
185	1	1	0	0				
186	1	1	0	0				
187	1	1	0	0				
188	1	1	0	0				
189	1	1	0	0				
190	1	1	0	0				
191	1	1	0	0				
192	1	1	0	0				
193	1	1	0	0				
194	1	1	0	0				
