id	educ	disability	AgeVariable	Gender	ScanPminute	Store	Weeks	AgeCAT	age1	age2	age3	age4	age5	age6	age7	age8	age9	age10	Training	ScanPminuteTime2
1	15	0	38	1	18	1	49	5	0	0	0	0	1	0	0	0	0	0	0	18.5
2	16	0	31	1	19.5	1	12	4	0	0	0	1	0	0	0	0	0	0	0	20
3	12	0	60	2	19.5	1	27	10	0	0	0	0	0	0	0	0	0	1	0	20
4	8	0	42	2	22	2	67	6	0	0	0	0	0	1	0	0	0	0	0	22.5
5	15	0	35	1	22	1	14	5	0	0	0	0	1	0	0	0	0	0	0	
6	15	0	31	1	17	1	49	4	0	0	0	1	0	0	0	0	0	0	0	17.5
7	15	0	33	1	25	1	1	4	0	0	0	1	0	0	0	0	0	0	0	25.5
8	12	0	23	2	22	2	97	2	0	1	0	0	0	0	0	0	0	0	0	22.5
9	15	0	44	2	22	2	65	6	0	0	0	0	0	1	0	0	0	0	0	22.5
10	12	0	43	2	27	1	101	6	0	0	0	0	0	1	0	0	0	0	0	27.5
11	16	0	40	2	22	2	23	6	0	0	0	0	0	1	0	0	0	0	0	
12	8	1	24	1	17	1	14	2	0	1	0	0	0	0	0	0	0	0	0	17.5
13	15	1	29	1	19	1	12	3	0	0	1	0	0	0	0	0	0	0	0	19.5
14	15	1	40	2	22	1	18	6	0	0	0	0	0	1	0	0	0	0	0	22.5
15	12	0	27	1	18	1	67	3	0	0	1	0	0	0	0	0	0	0	0	18.5
16	12	0	25	1	27	2	67	3	0	0	1	0	0	0	0	0	0	0	0	27.5
17	15	0	27	1	16	2	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
18	16	0	33	1	17	2	12	4	0	0	0	1	0	0	0	0	0	0	0	18
19	12	0	27	1	16	1	2	3	0	0	1	0	0	0	0	0	0	0	0	19.5
20	12	0	50	2	22	1	97	8	0	0	0	0	0	0	0	1	0	0	0	19.5
21	16	0	26	2	22	2	97	3	0	0	1	0	0	0	0	0	0	0	0	22
22	12	1	49	1	22	2	67	7	0	0	0	0	0	0	1	0	0	0	0	
23	15	1	24	2	14	2	49	2	0	1	0	0	0	0	0	0	0	0	0	17
24	12	1	56	2	26	2	34	9	0	0	0	0	0	0	0	0	1	0	0	25
25	15	1	47	2	22	1	49	7	0	0	0	0	0	0	1	0	0	0	0	22
26	15	0	23	1	19.5	2	45	2	0	1	0	0	0	0	0	0	0	0	0	22
27	19	0	35	1	14	1	3	5	0	0	0	0	1	0	0	0	0	0	0	27
28	15	0	26	1	18	2	45	3	0	0	1	0	0	0	0	0	0	0	0	22
29	19	0	46	1	7	2	13	7	0	0	0	0	0	0	1	0	0	0	0	
30	15	0	28	1	18	1	7	3	0	0	1	0	0	0	0	0	0	0	0	19
31	12	0	25	1	20	1	3	3	0	0	1	0	0	0	0	0	0	0	0	22
32	19	0	36	1	17	2	45	5	0	0	0	0	1	0	0	0	0	0	0	18
33	15	0	28	1	16	2	1	3	0	0	1	0	0	0	0	0	0	0	0	27
34	19	0	41	1	14	1	44	6	0	0	0	0	0	1	0	0	0	0	0	16
35	17	0	28	1	16	1	23	3	0	0	1	0	0	0	0	0	0	0	0	16.5
36	8	0	26	2	22	2	49	3	0	0	1	0	0	0	0	0	0	0	0	22.5
37	12	1	35	1	17	1	20	5	0	0	0	0	1	0	0	0	0	0	0	17.5
38	15	1	27	1	14	1	27	3	0	0	1	0	0	0	0	0	0	0	0	14.5
39	16	1	29	1	17	1	45	3	0	0	1	0	0	0	0	0	0	0	0	17.5
40	15	1	56	2	22	2	67	9	0	0	0	0	0	0	0	0	1	0	0	22.5
41	12	1	28	2	23.7	1	18	3	0	0	1	0	0	0	0	0	0	0	0	24.2
42	15	0	29	1	19.5	1	67	3	0	0	1	0	0	0	0	0	0	0	0	20
43	12	0	26	1	27	2	15	3	0	0	1	0	0	0	0	0	0	0	0	27.5
44	8	0	26	1	17	2	12	3	0	0	1	0	0	0	0	0	0	0	0	17.5
45	12	0	51	1	16	1	3	8	0	0	0	0	0	0	0	1	0	0	0	16.5
46	15	0	49	2	22	1	49	7	0	0	0	0	0	0	1	0	0	0	0	22.5
47	12	0	51	2	22	1	23	8	0	0	0	0	0	0	0	1	0	0	0	22.5
48	12	0	42	1	22	2	7	6	0	0	0	0	0	1	0	0	0	0	0	22.5
49	15	0	31	1	22	2	45	4	0	0	0	1	0	0	0	0	0	0	0	22.5
50	16	0	30	1	20.1	1	27	4	0	0	0	1	0	0	0	0	0	0	0	
51	12	0	27	1	17	1	12	3	0	0	1	0	0	0	0	0	0	0	0	17.5
52	15	0	26	1	16	1	23	3	0	0	1	0	0	0	0	0	0	0	0	16.5
53	18	0	35	1	16	1	12	5	0	0	0	0	1	0	0	0	0	0	0	16.5
54	12	0	58	1	17	1	12	9	0	0	0	0	0	0	0	0	1	0	0	17.5
55	12	0	29	1	22	2	27	3	0	0	1	0	0	0	0	0	0	0	0	
56	15	0	27	1	16	1	4	3	0	0	1	0	0	0	0	0	0	0	0	16.5
57	15	0	26	1	17	1	45	3	0	0	1	0	0	0	0	0	0	0	0	17.5
58	15	0	25	2	22	1	22	3	0	0	1	0	0	0	0	0	0	0	0	22.5
59	15	1	28	1	17	2	14	3	0	0	1	0	0	0	0	0	0	0	0	17.5
60	12	1	30	1	23	2	20	4	0	0	0	1	0	0	0	0	0	0	0	23.5
61	8	1	25	1	16	2	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
62	16	0	27	1	21	1	20	3	0	0	1	0	0	0	0	0	0	0	0	
63	17	0	28	1	17	2	20	3	0	0	1	0	0	0	0	0	0	0	0	17.5
64	16	0	26	1	19.5	1	20	3	0	0	1	0	0	0	0	0	0	0	0	20
65	8	0	25	1	17	2	20	3	0	0	1	0	0	0	0	0	0	0	0	17.5
66	19	0	27	1	15	2	67	3	0	0	1	0	0	0	0	0	0	0	0	15.5
67	16	0	25	1	19	1	20	3	0	0	1	0	0	0	0	0	0	0	0	19.5
68	16	0	26	1	18	1	14	3	0	0	1	0	0	0	0	0	0	0	0	
69	16	0	29	1	16	2	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
70	15	0	28	1	17	1	3	3	0	0	1	0	0	0	0	0	0	0	0	17.5
71	17	0	41	1	17	1	49	6	0	0	0	0	0	1	0	0	0	0	0	17.5
72	16	0	26	2	22	1	18	3	0	0	1	0	0	0	0	0	0	0	0	22.5
73	12	0	22	2	22	2	97	2	0	1	0	0	0	0	0	0	0	0	0	
74	15	0	56	2	22	1	49	9	0	0	0	0	0	0	0	0	1	0	0	22.5
75	15	0	24	2	22	1	97	2	0	1	0	0	0	0	0	0	0	0	0	
76	15	0	22	2	22	2	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
77	12	0	21	2	22	2	27	2	0	1	0	0	0	0	0	0	0	0	0	22.5
78	12	0	21	2	22	1	45	2	0	1	0	0	0	0	0	0	0	0	0	22.5
79	16	0	28	2	22	2	20	3	0	0	1	0	0	0	0	0	0	0	0	22.5
80	16	0	28	2	22	1	22	3	0	0	1	0	0	0	0	0	0	0	0	22.5
81	12	0	21	2	22	2	45	2	0	1	0	0	0	0	0	0	0	0	0	22.5
82	12	1	42	2	23	2	101	6	0	0	0	0	0	1	0	0	0	0	0	23.5
83	12	1	22	2	14	1	23	2	0	1	0	0	0	0	0	0	0	0	0	14.5
84	8	1	22	2	22	1	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
85	15	0	27	1	19	2	67	3	0	0	1	0	0	0	0	0	0	0	0	19.5
86	15	0	28	1	20.1	1	49	3	0	0	1	0	0	0	0	0	0	0	0	20.6
87	12	0	30	1	25	2	49	4	0	0	0	1	0	0	0	0	0	0	0	25.5
88	19	0	28	1	14	2	27	3	0	0	1	0	0	0	0	0	0	0	0	14.5
89	19	0	28	1	8	2	97	3	0	0	1	0	0	0	0	0	0	0	0	8.5
90	8	0	51	2	22	2	65	8	0	0	0	0	0	0	0	1	0	0	0	22.5
91	12	0	22	2	22	2	22	2	0	1	0	0	0	0	0	0	0	0	0	22.5
92	8	0	21	2	22	1	20	2	0	1	0	0	0	0	0	0	0	0	0	22.5
93	12	0	21	2	22	1	14	2	0	1	0	0	0	0	0	0	0	0	0	22.5
94	12	0	39	2	28	1	97	5	0	0	0	0	1	0	0	0	0	0	0	28.5
95	12	0	21	2	22	2	3	2	0	1	0	0	0	0	0	0	0	0	0	22.5
96	8	1	56	1	18	2	12	9	0	0	0	0	0	0	0	0	1	0	0	18.5
97	17	1	37	1	16	2	45	5	0	0	0	0	1	0	0	0	0	0	0	16.5
98	8	1	33	1	25	2	20	4	0	0	0	1	0	0	0	0	0	0	0	25.5
99	12	1	21	2	22	1	67	2	0	1	0	0	0	0	0	0	0	0	0	22.5
100	18	0	26	1	16	2	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
101	16	0	29	1	17	2	14	3	0	0	1	0	0	0	0	0	0	0	0	17.5
102	14	0	26	1	16	2	3	3	0	0	1	0	0	0	0	0	0	0	0	16.5
103	19	0	30	1	19	1	45	4	0	0	0	1	0	0	0	0	0	0	0	19.5
104	15	0	27	1	19.5	2	45	3	0	0	1	0	0	0	0	0	0	0	0	20
105	15	0	23	1	18	1	49	2	0	1	0	0	0	0	0	0	0	0	0	18.5
106	19	0	27	1	17	1	45	3	0	0	1	0	0	0	0	0	0	0	0	17.5
107	12	0	29	2	23.7	2	23	3	0	0	1	0	0	0	0	0	0	0	0	24.2
108	12	0	59	2	19	1	45	9	0	0	0	0	0	0	0	0	1	0	0	19.5
109	12	1	26	1	20	2	49	3	0	0	1	0	0	0	0	0	0	0	0	20.5
110	15	1	37	1	16	1	27	5	0	0	0	0	1	0	0	0	0	0	0	16.5
111	12	1	49	1	18	1	49	7	0	0	0	0	0	0	1	0	0	0	0	18.5
112	12	1	41	1	23	1	97	6	0	0	0	0	0	1	0	0	0	0	0	23.5
113	16	0	30	1	17	2	67	4	0	0	0	1	0	0	0	0	0	0	0	17.5
114	14	0	28	1	19.5	1	14	3	0	0	1	0	0	0	0	0	0	0	0	20
115	15	0	28	1	17	2	7	3	0	0	1	0	0	0	0	0	0	0	0	17.5
116	15	0	27	1	18	2	49	3	0	0	1	0	0	0	0	0	0	0	0	18.5
117	12	0	58	2	17	1	3	9	0	0	0	0	0	0	0	0	1	0	0	17.5
118	12	0	25	2	22	1	97	3	0	0	1	0	0	0	0	0	0	0	0	22.5
119	12	0	26	2	22	1	15	3	0	0	1	0	0	0	0	0	0	0	0	22.5
120	16	0	25	2	22	1	98	3	0	0	1	0	0	0	0	0	0	0	0	22.5
121	15	0	53	2	22	1	49	8	0	0	0	0	0	0	0	1	0	0	0	22.5
122	15	0	24	2	22	2	18	2	0	1	0	0	0	0	0	0	0	0	0	22.5
123	12	0	40	2	23.7	2	67	6	0	0	0	0	0	1	0	0	0	0	0	24.2
124	16	0	26	2	22	2	23	3	0	0	1	0	0	0	0	0	0	0	0	22.5
125	12	1	33	1	14	1	14	4	0	0	0	1	0	0	0	0	0	0	0	14.5
126	15	1	39	1	20	1	14	5	0	0	0	0	1	0	0	0	0	0	0	20.5
127	12	1	39	1	27	2	67	5	0	0	0	0	1	0	0	0	0	0	0	27.5
128	12	1	43	2	22	2	97	6	0	0	0	0	0	1	0	0	0	0	0	22.5
129	17	0	30	1	16	1	4	4	0	0	0	1	0	0	0	0	0	0	0	16.5
130	20	0	31	1	20	1	7	4	0	0	0	1	0	0	0	0	0	0	0	20.5
131	15	0	28	1	16	1	2	3	0	0	1	0	0	0	0	0	0	0	0	16.5
132	12	0	36	1	18	2	67	5	0	0	0	0	1	0	0	0	0	0	0	18.5
133	15	0	30	1	24	2	2	4	0	0	0	1	0	0	0	0	0	0	0	24.5
134	16	0	48	2	22	2	23	7	0	0	0	0	0	0	1	0	0	0	0	22.5
135	12	0	21	2	22	2	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
136	12	0	50	1	19.5	2	14	8	0	0	0	0	0	0	0	1	0	0	0	20
137	21	0	52	1	21	2	3	8	0	0	0	0	0	0	0	1	0	0	0	21.5
138	12	0	43	1	24	1	89	6	0	0	0	0	0	1	0	0	0	0	0	24.5
139	8	0	58	2	21	1	45	9	0	0	0	0	0	0	0	0	1	0	0	21.5
140	12	0	24	2	22	1	49	2	0	1	0	0	0	0	0	0	0	0	0	22.5
141	15	0	23	2	22	2	22	2	0	1	0	0	0	0	0	0	0	0	0	22.5
142	12	0	23	2	22	1	18	2	0	1	0	0	0	0	0	0	0	0	0	22.5
143	12	0	50	2	22	2	23	8	0	0	0	0	0	0	0	1	0	0	0	22.5
144	8	0	58	2	17	2	14	9	0	0	0	0	0	0	0	0	1	0	0	17.5
145	12	1	26	1	20.1	1	45	3	0	0	1	0	0	0	0	0	0	0	0	20.6
146	18	1	39	1	17	1	67	5	0	0	0	0	1	0	0	0	0	0	0	17.5
147	15	1	53	1	21	2	7	8	0	0	0	0	0	0	0	1	0	0	0	
148	15	1	30	2	28	2	49	4	0	0	0	1	0	0	0	0	0	0	0	28.5
149	12	0	27	1	27	2	49	3	0	0	1	0	0	0	0	0	0	0	0	27.5
